Record_ID,Compound_ID,Compound_Name,SMILES,StdInChl,StdInChIKey,Degradation_Target,Recruiter,Recruiter_UniProtID,Cell_Line,Assay,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,DOI,Connectivity_Key
28,27,15a,C[C@H]1CCCN(C2=NC(NC3=CC=C4C(=C3)C3=C(OCC(F)(F)[C@@H](C5CC5)N3)C(=O)N4C)=C(Cl)C=N2)C1,"InChI=1S/C26H29ClF2N6O2/c1-14-4-3-9-35(12-14)25-30-11-18(27)23(33-25)31-16-7-8-19-17(10-16)20-21(24(36)34(19)2)37-13-26(28,29)22(32-20)15-5-6-15/h7-8,10-11,14-15,22,32H,3-6,9,12-13H2,1-2H3,(H,30,31,33)/t14-,22+/m0/s1",BBIACINZYUBHFF-RCDICMHDSA-N,BCL6,Unknown,,OCI-Ly1,,6.3,nM,,,,,https://doi.org/10.1021/acs.jmedchem.1c02175,BBIACINZYUBHFF
3,3,iDeg-6,C#CC1=CC=C(NC(=O)OC[C@]23CN(S(=O)(=O)C4=C(C)C=C(C(C)(C)C)C=C4)C[C@H]2C[C@H]2C[C@@H]3C2(C)C)C=C1,"InChI=1S/C32H40N2O4S/c1-8-22-9-12-26(13-10-22)33-29(35)38-20-32-19-34(18-25(32)16-24-17-28(32)31(24,6)7)39(36,37)27-14-11-23(15-21(27)2)30(3,4)5/h1,9-15,24-25,28H,16-20H2,2-7H3,(H,33,35)/t24-,25+,28+,32+/m0/s1",SVVLXZSOWBLJBW-YUGNUMPCSA-N,IDO1,KLHDC3,Q9BQ90,,,6.5 ± 3,nM,,70,,100 nM ,https://doi.org/10.1101/2024.07.10.602857,SVVLXZSOWBLJBW
1274,1092,SJ7095,O=C1CCC(N2CC3=C(C=CC=C3CNC(=O)C3=CC=C(F)C=C3)C2=O)C(=O)N1,"InChI=1S/C21H18FN3O4/c22-14-6-4-12(5-7-14)19(27)23-10-13-2-1-3-15-16(13)11-25(21(15)29)17-8-9-18(26)24-20(17)28/h1-7,17H,8-11H2,(H,23,27)(H,24,26,28)",QYERRCYEYNDQFV-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,HEK293,HiBiT,69,nM,4 h,82.2,,10 μM,https://doi.org/10.1038/s41467-024-44698-1,QYERRCYEYNDQFV
339,319,14,CC1=CC=C(C(=O)NC2=CC3=C(C=C2)C(=O)N(C2CCC(=O)NC2=O)C3)C=C1,"InChI=1S/C21H19N3O4/c1-12-2-4-13(5-3-12)19(26)22-15-6-7-16-14(10-15)11-24(21(16)28)17-8-9-18(25)23-20(17)27/h2-7,10,17H,8-9,11H2,1H3,(H,22,26)(H,23,25,27)",XHFMAWKVKSEQSG-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,7,nM,,89,24 h,10 μM,https://doi.org/10.1021/acsmedchemlett.4c00250,XHFMAWKVKSEQSG
574,531,8a,CN1C(=O)C2=C(N[C@H](C3CC3)C(F)(F)CO2)C2=CC(NC3=C(Cl)C=NC(N4CCC(F)(F)[C@@H](O)C4)=N3)=CC=C21,"InChI=1S/C25H25ClF4N6O3/c1-35-16-5-4-13(32-21-15(26)9-31-23(34-21)36-7-6-24(27,28)17(37)10-36)8-14(16)18-19(22(35)38)39-11-25(29,30)20(33-18)12-2-3-12/h4-5,8-9,12,17,20,33,37H,2-3,6-7,10-11H2,1H3,(H,31,32,34)/t17-,20+/m0/s1",VMGLHACLWFOJMH-FXAWDEMLSA-N,BCL6,Unknown,,OCI-Ly1,,7.1,nM,,,,,https://doi.org/10.1021/acs.jmedchem.1c02175,VMGLHACLWFOJMH
610,563,MGD-28,CN1CC2=C(C=CC=C2NCC2=CC=C(CN3CCN(C4=CC(F)=C(C#N)C=C4)CC3)C=C2)C(=O)N1C1CCC(=O)NC1=O,"InChI=1S/C33H34FN7O3/c1-38-21-27-26(33(44)41(38)30-11-12-31(42)37-32(30)43)3-2-4-29(27)36-19-22-5-7-23(8-6-22)20-39-13-15-40(16-14-39)25-10-9-24(18-35)28(34)17-25/h2-10,17,30,36H,11-16,19-21H2,1H3,(H,37,42,43)",JICHBFQDRLGJTM-UHFFFAOYSA-N,IKZF3,CRBN,Q96SW2,HEK293T,,7.1,nM,,,,,https://doi.org/10.1186/s13045-024-01592-z,JICHBFQDRLGJTM
610,563,MGD-28,CN1CC2=C(C=CC=C2NCC2=CC=C(CN3CCN(C4=CC(F)=C(C#N)C=C4)CC3)C=C2)C(=O)N1C1CCC(=O)NC1=O,"InChI=1S/C33H34FN7O3/c1-38-21-27-26(33(44)41(38)30-11-12-31(42)37-32(30)43)3-2-4-29(27)36-19-22-5-7-23(8-6-22)20-39-13-15-40(16-14-39)25-10-9-24(18-35)28(34)17-25/h2-10,17,30,36H,11-16,19-21H2,1H3,(H,37,42,43)",JICHBFQDRLGJTM-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,HEK293T,,7.8,nM,,,,,https://doi.org/10.1186/s13045-024-01592-z,JICHBFQDRLGJTM
282,267,TMX4128,CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)OC(C)(C)C)N=C2C1=CC=C(C#CC=O)C=C1,"InChI=1S/C26H26N4O3S/c1-15-16(2)34-25-22(15)23(19-11-9-18(10-12-19)8-7-13-31)27-20(14-21(32)33-26(4,5)6)24-29-28-17(3)30(24)25/h9-13,20H,14H2,1-6H3/t20-/m0/s1",JEJGRWMOILENAT-FQEVSTJZSA-N,BRD4,DCAF16,Q9NXF7,,,703,nM,,69,16 h,,https://doi.org/10.1016/j.ejmech.2024.116904,JEJGRWMOILENAT
289,271,MMH249,CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)OC(C)(C)C)N=C2C1=CC=C(NC(=O)CCl)C=C1,"InChI=1S/C25H28ClN5O3S/c1-13-14(2)35-24-21(13)22(16-7-9-17(10-8-16)27-19(32)12-26)28-18(11-20(33)34-25(4,5)6)23-30-29-15(3)31(23)24/h7-10,18H,11-12H2,1-6H3,(H,27,32)/t18-/m0/s1",UJMDKYUESHTQNZ-SFHVURJKSA-N,BRD4,DCAF16,Q9NXF7,,,8,nM,,,,,https://doi.org/10.1016/j.ejmech.2024.116904,UJMDKYUESHTQNZ
321,302,13,CC1=CC(C(=O)NC2=CC3=C(C=C2)C(=O)N(C2CCC(=O)NC2=O)C3)=CC=C1,"InChI=1S/C21H19N3O4/c1-12-3-2-4-13(9-12)19(26)22-15-5-6-16-14(10-15)11-24(21(16)28)17-7-8-18(25)23-20(17)27/h2-6,9-10,17H,7-8,11H2,1H3,(H,22,26)(H,23,25,27)",HKQXTORGXDGFIQ-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,8,nM,,88,24 h,10 μM,https://doi.org/10.1021/acsmedchemlett.4c00250,HKQXTORGXDGFIQ
